"Kod";"Nazwa";"ogółem;kobiety;2019;[osoba]";
1212062;"Trzyciąż (2)";3492;
1212073;"Wolbrom (3)";11647;
1212074;"Wolbrom - miasto (4)";4445;
1212075;"Wolbrom - obszar wiejski (5)";7202;
1213011;"Oświęcim (1)";19940;
1213023;"Brzeszcze (3)";10884;
1213024;"Brzeszcze - miasto (4)";5834;
1213025;"Brzeszcze - obszar wiejski (5)";5050;
1213033;"Chełmek (3)";6571;
1213034;"Chełmek - miasto (4)";4678;
1213035;"Chełmek - obszar wiejski (5)";1893;
1213043;"Kęty (3)";17465;
1213044;"Kęty - miasto (4)";9725;
1213045;"Kęty - obszar wiejski (5)";7740;
1213052;"Osiek (2)";4202;
1213062;"Oświęcim (2)";9419;
1213072;"Polanka Wielka (2)";2175;
1213082;"Przeciszów (2)";3469;
1213093;"Zator (3)";4695;
1213094;"Zator - miasto (4)";1850;
1213095;"Zator - obszar wiejski (5)";2845;
1214012;"Koniusza (2)";4512;
1214023;"Koszyce (3)";2841;
1214024;"Koszyce - miasto (4)";419;
1214025;"Koszyce - obszar wiejski (5)";2422;
1214033;"Nowe Brzesko (3)";2853;
1214034;"Nowe Brzesko - miasto (4)";827;
1214035;"Nowe Brzesko - obszar wiejski (5)";2026;
1214042;"Pałecznica (2)";1780;
1214053;"Proszowice (3)";8268;
1214054;"Proszowice - miasto (4)";3154;
1214055;"Proszowice - obszar wiejski (5)";5114;
1214062;"Radziemice (2)";1681;
1215011;"Jordanów (1)";2800;
1215021;"Sucha Beskidzka (1)";4682;
1215032;"Budzów (2)";4464;
1215042;"Bystra-Sidzina (2)";3455;
1215052;"Jordanów (2)";5574;
1215063;"Maków Podhalański (3)";8159;
1215064;"Maków Podhalański - miasto (4)";3019;
1215065;"Maków Podhalański - obszar wiejski (5)";5140;
1215072;"Stryszawa (2)";6093;
1215082;"Zawoja (2)";4426;
1215092;"Zembrzyce (2)";2812;
1216013;"Ciężkowice (3)";5569;
1216014;"Ciężkowice - miasto (4)";1266;
1216015;"Ciężkowice - obszar wiejski (5)";4303;
1216022;"Gromnik (2)";4462;
1216032;"Lisia Góra (2)";7765;
1216042;"Pleśna (2)";5998;
1216053;"Radłów (3)";4883;
1216054;"Radłów - miasto (4)";1437;
1216055;"Radłów - obszar wiejski (5)";3446;
1216063;"Ryglice (3)";5857;
1216064;"Ryglice - miasto (4)";1401;
1216065;"Ryglice - obszar wiejski (5)";4456;
1216072;"Rzepiennik Strzyżewski (2)";3376;
1216082;"Skrzyszów (2)";7200;
1216092;"Tarnów (2)";13299;
1216103;"Tuchów (3)";9032;
1216104;"Tuchów - miasto (4)";3358;
1216105;"Tuchów - obszar wiejski (5)";5674;
1216112;"Wierzchosławice (2)";5556;
1216122;"Wietrzychowice (2)";1955;
1216133;"Wojnicz (3)";6766;
1216134;"Wojnicz - miasto (4)";1758;
1216135;"Wojnicz - obszar wiejski (5)";5008;
1216143;"Zakliczyn (3)";6301;
1216144;"Zakliczyn - miasto (4)";829;
1216145;"Zakliczyn - obszar wiejski (5)";5472;
1216153;"Żabno (3)";9619;
1216154;"Żabno - miasto (4)";2170;
1216155;"Żabno - obszar wiejski (5)";7449;
1216162;"Szerzyny (2)";3950;
1217011;"Zakopane (1)";14423;
1217022;"Biały Dunajec (2)";3671;
1217032;"Bukowina Tatrzańska (2)";6750;
1217042;"Kościelisko (2)";4526;
1217052;"Poronin (2)";5865;
1218013;"Andrychów (3)";22118;
1218014;"Andrychów - miasto (4)";10360;
1218015;"Andrychów - obszar wiejski (5)";11758;
1218022;"Brzeźnica (2)";5320;
1218033;"Kalwaria Zebrzydowska (3)";10131;
1218034;"Kalwaria Zebrzydowska - miasto (4)";2290;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";7841;
1218042;"Lanckorona (2)";3208;
1218052;"Mucharz (2)";2062;
1218062;"Spytkowice (2)";5312;
1218072;"Stryszów (2)";3454;
1218082;"Tomice (2)";4181;
1218093;"Wadowice (3)";19533;
1218094;"Wadowice - miasto (4)";9932;
1218095;"Wadowice - obszar wiejski (5)";9601;
1218102;"Wieprz (2)";6160;
1219012;"Biskupice (2)";5331;
1219022;"Gdów (2)";9195;
1219032;"Kłaj (2)";5474;
1219043;"Niepołomice (3)";15005;
1219044;"Niepołomice - miasto (4)";7042;
1219045;"Niepołomice - obszar wiejski (5)";7963;
1219053;"Wieliczka (3)";31091;
1219054;"Wieliczka - miasto (4)";12471;
1219055;"Wieliczka - obszar wiejski (5)";18620;
1261011;"Kraków (1)";415628;
1262011;"Nowy Sącz (1)";43646;
1263011;"Tarnów (1)";57214;
1400000;"MAZOWIECKIE";2828145;
1401013;"Białobrzegi (3)";5226;
1401014;"Białobrzegi - miasto (4)";3545;
1401015;"Białobrzegi - obszar wiejski (5)";1681;
1401022;"Promna (2)";2701;
1401032;"Radzanów (2)";1921;
1401042;"Stara Błotnica (2)";2591;
1401052;"Stromiec (2)";2735;
1401063;"Wyśmierzyce (3)";1367;
1401064;"Wyśmierzyce - miasto (4)";426;
1401065;"Wyśmierzyce - obszar wiejski (5)";941;
1402011;"Ciechanów (1)";23096;
1402022;"Ciechanów (2)";3511;
1402033;"Glinojeck (3)";3899;
1402034;"Glinojeck - miasto (4)";1544;
1402035;"Glinojeck - obszar wiejski (5)";2355;
1402042;"Gołymin-Ośrodek (2)";1879;
1402052;"Grudusk (2)";1814;
1402062;"Ojrzeń (2)";2092;
1402072;"Opinogóra Górna (2)";2890;
1402082;"Regimin (2)";2454;
1402092;"Sońsk (2)";3799;
1403011;"Garwolin (1)";9113;
1403021;"Łaskarzew (1)";2433;
1403032;"Borowie (2)";2589;
1403042;"Garwolin (2)";6729;
1403052;"Górzno (2)";3278;
1403062;"Łaskarzew (2)";2765;
1403072;"Maciejowice (2)";3314;
1403082;"Miastków Kościelny (2)";2393;
1403092;"Parysów (2)";2063;
1403103;"Pilawa (3)";5550;
1403104;"Pilawa - miasto (4)";2342;
1403105;"Pilawa - obszar wiejski (5)";3208;
1403112;"Sobolew (2)";4166;
1403122;"Trojanów (2)";3684;
1403132;"Wilga (2)";2676;
1403143;"Żelechów (3)";4116;
1403144;"Żelechów - miasto (4)";1983;
1403145;"Żelechów - obszar wiejski (5)";2133;
1404011;"Gostynin (1)";9779;
1404022;"Gostynin (2)";5990;
1404032;"Pacyna (2)";1759;
1404043;"Sanniki (3)";3103;
1404044;"Sanniki - miasto (4)";1034;
1404045;"Sanniki - obszar wiejski (5)";2069;
1404052;"Szczawin Kościelny (2)";2435;
1405011;"Milanówek (1)";8715;
1405021;"Podkowa Leśna (1)";2029;
1405032;"Baranów (2)";2663;
1405043;"Grodzisk Mazowiecki (3)";25678;
1405044;"Grodzisk Mazowiecki - miasto (4)";17080;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";8598;
1405052;"Jaktorów (2)";6382;
1405062;"Żabia Wola (2)";4508;
1406012;"Belsk Duży (2)";3296;
1406022;"Błędów (2)";3767;
1406032;"Chynów (2)";4891;
1406042;"Goszczyn (2)";1410;
1406053;"Grójec (3)";13415;
1406054;"Grójec - miasto (4)";8882;
1406055;"Grójec - obszar wiejski (5)";4533;
1406062;"Jasieniec (2)";2678;
1406073;"Mogielnica (3)";4360;
1406074;"Mogielnica - miasto (4)";1168;
1406075;"Mogielnica - obszar wiejski (5)";3192;
1406083;"Nowe Miasto nad Pilicą (3)";3969;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";1996;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";1973;
1406092;"Pniewy (2)";2380;
1406113;"Warka (3)";9885;
1406114;"Warka - miasto (4)";6216;
1406115;"Warka - obszar wiejski (5)";3669;
1407012;"Garbatka-Letnisko (2)";2525;
1407022;"Głowaczów (2)";3475;
1407032;"Gniewoszów (2)";1986;
1407042;"Grabów nad Pilicą (2)";1882;
1407053;"Kozienice (3)";15052;
1407054;"Kozienice - miasto (4)";8878;
1407055;"Kozienice - obszar wiejski (5)";6174;
1407062;"Magnuszew (2)";3304;
1407072;"Sieciechów (2)";1992;
1408011;"Legionowo (1)";28414;
1408022;"Jabłonna (2)";10070;
1408032;"Nieporęt (2)";7554;
1408043;"Serock (3)";7679;
1408044;"Serock - miasto (4)";2343;
1408045;"Serock - obszar wiejski (5)";5336;
1408052;"Wieliszew (2)";7687;
1409012;"Chotcza (2)";1172;
1409022;"Ciepielów (2)";2752;
1409033;"Lipsko (3)";5549;
1409034;"Lipsko - miasto (4)";2816;
1409035;"Lipsko - obszar wiejski (5)";2733;
1409042;"Rzeczniów (2)";2174;
1409052;"Sienno (2)";2891;
1409062;"Solec nad Wisłą (2)";2540;
1410012;"Huszlew (2)";1367;
1410023;"Łosice (3)";5537;
1410024;"Łosice - miasto (4)";3693;
1410025;"Łosice - obszar wiejski (5)";1844;
1410032;"Olszanka (2)";1467;
1410042;"Platerów (2)";2396;
1410052;"Sarnaki (2)";2362;
1410062;"Stara Kornica (2)";2325;
1411011;"Maków Mazowiecki (1)";5099;
1411022;"Czerwonka (2)";1303;
1411032;"Karniewo (2)";2610;
1411042;"Krasnosielc (2)";3178;
1411052;"Młynarze (2)";820;
1411062;"Płoniawy-Bramura (2)";2586;
1411073;"Różan (3)";2260;
1411074;"Różan - miasto (4)";1429;
1411075;"Różan - obszar wiejski (5)";831;
1411082;"Rzewnie (2)";1257;
1411092;"Sypniewo (2)";1571;
1411102;"Szelków (2)";1753;
1412011;"Mińsk Mazowiecki (1)";21594;
1412042;"Cegłów (2)";3045;
1412052;"Dębe Wielkie (2)";5310;
1412062;"Dobre (2)";2955;
1412073;"Halinów (3)";8303;
1412074;"Halinów - miasto (4)";1895;
1412075;"Halinów - obszar wiejski (5)";6408;
1412082;"Jakubów (2)";2553;
1412093;"Kałuszyn (3)";2878;
1412094;"Kałuszyn - miasto (4)";1438;
1412095;"Kałuszyn - obszar wiejski (5)";1440;
1412102;"Latowicz (2)";2647;
1412112;"Mińsk Mazowiecki (2)";7820;
1412123;"Mrozy (3)";4436;
1412124;"Mrozy - miasto (4)";1860;
1412125;"Mrozy - obszar wiejski (5)";2576;
1412132;"Siennica (2)";3784;
1412142;"Stanisławów (2)";3374;
1412151;"Sulejówek (1)";10442;
1413011;"Mława (1)";16372;
1413022;"Dzierzgowo (2)";1487;
1413032;"Lipowiec Kościelny (2)";2457;
1413042;"Radzanów (2)";1615;
1413052;"Strzegowo (2)";3715;
1413062;"Stupsk (2)";2437;
1413072;"Szreńsk (2)";2110;
1413082;"Szydłowo (2)";2273;
1413092;"Wieczfnia Kościelna (2)";2011;
1413102;"Wiśniewo (2)";2559;
1414011;"Nowy Dwór Mazowiecki (1)";14959;
1414022;"Czosnów (2)";5088;
1414032;"Leoncin (2)";2844;
1414043;"Nasielsk (3)";9997;
1414044;"Nasielsk - miasto (4)";3890;
1414045;"Nasielsk - obszar wiejski (5)";6107;
1414052;"Pomiechówek (2)";4692;
1414063;"Zakroczym (3)";3050;
1414064;"Zakroczym - miasto (4)";1599;
1414065;"Zakroczym - obszar wiejski (5)";1451;
1415012;"Baranowo (2)";3211;
1415022;"Czarnia (2)";1249;
1415032;"Czerwin (2)";2519;
1415042;"Goworowo (2)";4032;
1415052;"Kadzidło (2)";5547;
1415062;"Lelis (2)";4785;
1415072;"Łyse (2)";4134;
1415083;"Myszyniec (3)";5112;
1415084;"Myszyniec - miasto (4)";1754;
1415085;"Myszyniec - obszar wiejski (5)";3358;
1415092;"Olszewo-Borki (2)";5372;
1415102;"Rzekuń (2)";5349;
1415112;"Troszyn (2)";2378;
1416011;"Ostrów Mazowiecka (1)";11694;
1416022;"Andrzejewo (2)";2027;
1416032;"Boguty-Pianki (2)";1246;
1416043;"Brok (3)";1404;
1416044;"Brok - miasto (4)";969;
1416045;"Brok - obszar wiejski (5)";435;
1416052;"Małkinia Górna (2)";5890;
1416062;"Nur (2)";1304;
1416072;"Ostrów Mazowiecka (2)";6416;
1416082;"Stary Lubotyń (2)";1839;
1416092;"Szulborze Wielkie (2)";806;
1416102;"Wąsewo (2)";2146;
1416112;"Zaręby Kościelne (2)";1772;
1417011;"Józefów (1)";10884;
1417021;"Otwock (1)";23641;
1417032;"Celestynów (2)";6034;
1417043;"Karczew (3)";8281;
1417044;"Karczew - miasto (4)";5104;
1417045;"Karczew - obszar wiejski (5)";3177;
1417052;"Kołbiel (2)";4197;
1417062;"Osieck (2)";1864;
1417072;"Sobienie-Jeziory (2)";3216;
1417082;"Wiązowna (2)";6685;
1418013;"Góra Kalwaria (3)";13952;
1418014;"Góra Kalwaria - miasto (4)";6350;
1418015;"Góra Kalwaria - obszar wiejski (5)";7602;
1418023;"Konstancin-Jeziorna (3)";13001;
1418024;"Konstancin-Jeziorna - miasto (4)";9061;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";3940;
1418032;"Lesznowola (2)";14596;
1418043;"Piaseczno (3)";44885;
1418044;"Piaseczno - miasto (4)";25649;
1418045;"Piaseczno - obszar wiejski (5)";19236;
1418052;"Prażmów (2)";5741;
1418063;"Tarczyn (3)";5903;
1418064;"Tarczyn - miasto (4)";2197;
1418065;"Tarczyn - obszar wiejski (5)";3706;
1419012;"Bielsk (2)";4542;
1419022;"Bodzanów (2)";4082;
1419032;"Brudzeń Duży (2)";4103;
1419042;"Bulkowo (2)";2799;
1419053;"Drobin (3)";3970;
1419054;"Drobin - miasto (4)";1487;
1419055;"Drobin - obszar wiejski (5)";2483;
1419063;"Gąbin (3)";5687;
1419064;"Gąbin - miasto (4)";2171;
1419065;"Gąbin - obszar wiejski (5)";3516;
1419072;"Łąck (2)";2795;
1419082;"Mała Wieś (2)";3027;
1419092;"Nowy Duninów (2)";1996;
1419102;"Radzanowo (2)";4304;
1419112;"Słubice (2)";2193;
1419122;"Słupno (2)";4009;
1419132;"Stara Biała (2)";5973;
1419142;"Staroźreby (2)";3616;
1419153;"Wyszogród (3)";2815;
1419154;"Wyszogród - miasto (4)";1323;
1419155;"Wyszogród - obszar wiejski (5)";1492;
1420011;"Płońsk (1)";11750;
1420021;"Raciąż (1)";2258;
1420032;"Baboszewo (2)";3946;
1420042;"Czerwińsk nad Wisłą (2)";3817;
1420052;"Dzierzążnia (2)";1819;
1420062;"Joniec (2)";1365;
1420072;"Naruszewo (2)";3133;
1420082;"Nowe Miasto (2)";2287;
1420092;"Płońsk (2)";3957;
1420102;"Raciąż (2)";4064;
1420112;"Sochocin (2)";2943;
1420122;"Załuski (2)";2885;
1421011;"Piastów (1)";11930;
1421021;"Pruszków (1)";33100;
1421033;"Brwinów (3)";13866;
1421034;"Brwinów - miasto (4)";7178;
1421035;"Brwinów - obszar wiejski (5)";6688;
1421042;"Michałowice (2)";9483;
1421052;"Nadarzyn (2)";7244;
1421062;"Raszyn (2)";11346;
1422011;"Przasnysz (1)";8903;
1422023;"Chorzele (3)";4952;
1422024;"Chorzele - miasto (4)";1597;
1422025;"Chorzele - obszar wiejski (5)";3355;
1422032;"Czernice Borowe (2)";1806;
1422042;"Jednorożec (2)";3519;
1422052;"Krasne (2)";1793;
1422062;"Krzynowłoga Mała (2)";1671;
1422072;"Przasnysz (2)";3569;
1423012;"Borkowice (2)";2138;
1423022;"Gielniów (2)";2299;
1423032;"Klwów (2)";1709;
1423042;"Odrzywół (2)";1827;
1423052;"Potworów (2)";2085;
1423063;"Przysucha (3)";6033;
1423064;"Przysucha - miasto (4)";2988;
1423065;"Przysucha - obszar wiejski (5)";3045;
1423072;"Rusinów (2)";2123;
1423082;"Wieniawa (2)";2613;
1424012;"Gzy (2)";1762;
1424022;"Obryte (2)";2340;
1424032;"Pokrzywnica (2)";2486;
1424043;"Pułtusk (3)";12754;
1424044;"Pułtusk - miasto (4)";10117;
1424045;"Pułtusk - obszar wiejski (5)";2637;
1424052;"Świercze (2)";2276;
1424062;"Winnica (2)";2086;
1424072;"Zatory (2)";2452;
1425011;"Pionki (1)";9475;
1425022;"Gózd (2)";4434;
1425033;"Iłża (3)";7444;
1425034;"Iłża - miasto (4)";2434;
1425035;"Iłża - obszar wiejski (5)";5010;
1425042;"Jastrzębia (2)";3448;
1425052;"Jedlińsk (2)";7237;
1425062;"Jedlnia-Letnisko (2)";6488;
1425072;"Kowala (2)";6110;
1425082;"Pionki (2)";4988;
1425092;"Przytyk (2)";3626;
1425103;"Skaryszew (3)";7432;
1425104;"Skaryszew - miasto (4)";2203;
1425105;"Skaryszew - obszar wiejski (5)";5229;
1425112;"Wierzbica (2)";4723;
1425122;"Wolanów (2)";4443;
1425132;"Zakrzew (2)";6592;
1426012;"Domanice (2)";1306;
1426022;"Korczew (2)";1274;
1426032;"Kotuń (2)";4307;
1426042;"Mokobody (2)";2373;
1426053;"Mordy (3)";2928;
1426054;"Mordy - miasto (4)";926;
1426055;"Mordy - obszar wiejski (5)";2002;
1426062;"Paprotnia (2)";1189;
1426072;"Przesmyki (2)";1561;
1426082;"Siedlce (2)";9226;
1426092;"Skórzec (2)";3900;
1426102;"Suchożebry (2)";2305;
1426112;"Wiśniew (2)";2849;
1426122;"Wodynie (2)";2170;
1426132;"Zbuczyn (2)";5054;
1427011;"Sierpc (1)";9455;
1427022;"Gozdowo (2)";2919;
1427032;"Mochowo (2)";2982;
1427042;"Rościszewo (2)";2060;
1427052;"Sierpc (2)";3477;
1427062;"Szczutowo (2)";2154;
1427072;"Zawidz (2)";3275;
1428011;"Sochaczew (1)";19061;
1428022;"Brochów (2)";2186;
1428032;"Iłów (2)";3080;
1428042;"Młodzieszyn (2)";2798;
1428052;"Nowa Sucha (2)";3427;
1428062;"Rybno (2)";1760;
1428072;"Sochaczew (2)";5462;
1428082;"Teresin (2)";5881;
1429011;"Sokołów Podlaski (1)";9933;
1429022;"Bielany (2)";1773;
1429032;"Ceranów (2)";1041;
1429042;"Jabłonna Lacka (2)";2258;
1429053;"Kosów Lacki (3)";2918;
1429054;"Kosów Lacki - miasto (4)";1067;
1429055;"Kosów Lacki - obszar wiejski (5)";1851;
1429062;"Repki (2)";2526;
1429072;"Sabnie (2)";1817;
1429082;"Sokołów Podlaski (2)";2907;
1429092;"Sterdyń (2)";1975;
1430012;"Chlewiska (2)";2988;
1430022;"Jastrząb (2)";2625;
1430032;"Mirów (2)";1859;
1430042;"Orońsko (2)";2947;
1430053;"Szydłowiec (3)";9477;
1430054;"Szydłowiec - miasto (4)";6054;
1430055;"Szydłowiec - obszar wiejski (5)";3423;
1432013;"Błonie (3)";11283;
1432014;"Błonie - miasto (4)";6472;
1432015;"Błonie - obszar wiejski (5)";4811;
1432022;"Izabelin (2)";5478;
1432032;"Kampinos (2)";2198;
1432042;"Leszno (2)";5280;
1432053;"Łomianki (3)";14126;
1432054;"Łomianki - miasto (4)";8919;
1432055;"Łomianki - obszar wiejski (5)";5207;
1432063;"Ożarów Mazowiecki (3)";13310;
1432064;"Ożarów Mazowiecki - miasto (4)";6332;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";6978;
1432072;"Stare Babice (2)";9916;
1433011;"Węgrów (1)";6544;
1433022;"Grębków (2)";2181;
1433032;"Korytnica (2)";2986;
1433042;"Liw (2)";3627;
1433053;"Łochów (3)";9012;
1433054;"Łochów - miasto (4)";3466;
1433055;"Łochów - obszar wiejski (5)";5546;
1433062;"Miedzna (2)";1927;
1433072;"Sadowne (2)";2965;
1433082;"Stoczek (2)";2409;
1433092;"Wierzbno (2)";1304;
1434011;"Kobyłka (1)";12640;
1434021;"Marki (1)";18564;
1434031;"Ząbki (1)";19885;
1434041;"Zielonka (1)";9266;
1434052;"Dąbrówka (2)";4070;
1434062;"Jadów (2)";3727;
1434072;"Klembów (2)";5045;
1434082;"Poświętne (2)";3145;
1434093;"Radzymin (3)";14096;
1434094;"Radzymin - miasto (4)";6868;
1434095;"Radzymin - obszar wiejski (5)";7228;
1434102;"Strachówka (2)";1320;
1434113;"Tłuszcz (3)";10240;
1434114;"Tłuszcz - miasto (4)";4252;
1434115;"Tłuszcz - obszar wiejski (5)";5988;
1434123;"Wołomin (3)";27201;
1434124;"Wołomin - miasto (4)";19570;
1434125;"Wołomin - obszar wiejski (5)";7631;
1435012;"Brańszczyk (2)";4194;
1435022;"Długosiodło (2)";3832;
1435032;"Rząśnik (2)";3473;
1435042;"Somianka (2)";2757;
1435053;"Wyszków (3)";20286;
1435054;"Wyszków - miasto (4)";14069;
1435055;"Wyszków - obszar wiejski (5)";6217;
1435062;"Zabrodzie (2)";2963;
1436012;"Kazanów (2)";2214;
1436022;"Policzna (2)";2710;
1436032;"Przyłęk (2)";3097;
1436042;"Tczów (2)";2427;
1436053;"Zwoleń (3)";7732;
1436054;"Zwoleń - miasto (4)";4046;
1436055;"Zwoleń - obszar wiejski (5)";3686;
1437013;"Bieżuń (3)";2474;
1437014;"Bieżuń - miasto (4)";949;
1437015;"Bieżuń - obszar wiejski (5)";1525;
1437022;"Kuczbork-Osada (2)";2397;
1437033;"Lubowidz (3)";3514;
1437034;"Lubowidz - miasto (4)";851;
1437035;"Lubowidz - obszar wiejski (5)";2663;
1437042;"Lutocin (2)";2087;
1437052;"Siemiątkowo (2)";1717;
1437063;"Żuromin (3)";7313;
1437064;"Żuromin - miasto (4)";4567;
1437065;"Żuromin - obszar wiejski (5)";2746;
1438011;"Żyrardów (1)";21168;
1438023;"Mszczonów (3)";6021;
1438024;"Mszczonów - miasto (4)";3403;
1438025;"Mszczonów - obszar wiejski (5)";2618;
1438032;"Puszcza Mariańska (2)";4407;
1438042;"Radziejowice (2)";2999;
1438052;"Wiskitki (2)";4923;
1461011;"Ostrołęka (1)";27206;
1462011;"Płock (1)";63157;
1463011;"Radom (1)";111152;
1464011;"Siedlce (1)";41214;
1465011;"M.st.Warszawa od 2002 (1)";966319;
1465028;"Bemowo - dzielnica (8)";66757;
1465038;"Białołęka - dzielnica (8)";68068;
1465048;"Bielany - dzielnica (8)";71501;
1465058;"Mokotów - dzielnica (8)";119605;
1465068;"Ochota - dzielnica (8)";45051;
1465078;"Praga-Południe - dzielnica (8)";98791;
1465088;"Praga-Północ - dzielnica (8)";34114;
1465098;"Rembertów - dzielnica (8)";12732;
1465108;"Śródmieście - dzielnica (8)";62511;
1465118;"Targówek - dzielnica (8)";67547;
1465128;"Ursus - dzielnica (8)";32617;
1465138;"Ursynów - dzielnica (8)";80670;
1465148;"Wawer - dzielnica (8)";41309;
1465158;"Wesoła - dzielnica (8)";13370;
1465168;"Wilanów - dzielnica (8)";22366;
1465178;"Włochy - dzielnica (8)";23220;
1465188;"Wola - dzielnica (8)";77101;
1465198;"Żoliborz - dzielnica (8)";28989;
1600000;"OPOLSKIE";507460;
1601011;"Brzeg (1)";18748;
1601022;"Skarbimierz (2)";4089;
1601033;"Grodków (3)";9704;
1601034;"Grodków - miasto (4)";4524;
1601035;"Grodków - obszar wiejski (5)";5180;
1601043;"Lewin Brzeski (3)";6577;
1601044;"Lewin Brzeski - miasto (4)";2959;
1601045;"Lewin Brzeski - obszar wiejski (5)";3618;
1601052;"Lubsza (2)";4485;
1601062;"Olszanka (2)";2408;
1602013;"Baborów (3)";3048;
1602014;"Baborów - miasto (4)";1521;
1602015;"Baborów - obszar wiejski (5)";1527;
1602022;"Branice (2)";3300;
1602033;"Głubczyce (3)";11451;
1602034;"Głubczyce - miasto (4)";6589;
1602035;"Głubczyce - obszar wiejski (5)";4862;
1602043;"Kietrz (3)";5523;
1602044;"Kietrz - miasto (4)";3075;
1602045;"Kietrz - obszar wiejski (5)";2448;
1603011;"Kędzierzyn-Koźle (1)";31471;
1603022;"Bierawa (2)";4104;
1603032;"Cisek (2)";2898;
1603042;"Pawłowiczki (2)";3760;
1603052;"Polska Cerekiew (2)";2068;
1603062;"Reńska Wieś (2)";4276;
1604013;"Byczyna (3)";4674;
1604014;"Byczyna - miasto (4)";1813;
1604015;"Byczyna - obszar wiejski (5)";2861;
1604023;"Kluczbork (3)";18616;
1604024;"Kluczbork - miasto (4)";12283;
1604025;"Kluczbork - obszar wiejski (5)";6333;
1604032;"Lasowice Wielkie (2)";3527;
1604043;"Wołczyn (3)";6744;
1604044;"Wołczyn - miasto (4)";3021;
1604045;"Wołczyn - obszar wiejski (5)";3723;
1605013;"Gogolin (3)";6575;
1605014;"Gogolin - miasto (4)";3501;
1605015;"Gogolin - obszar wiejski (5)";3074;
1605023;"Krapkowice (3)";11693;
1605024;"Krapkowice - miasto (4)";8427;
1605025;"Krapkowice - obszar wiejski (5)";3266;
1605032;"Strzeleczki (2)";3844;
1605042;"Walce (2)";2815;
1605053;"Zdzieszowice (3)";7979;
1605054;"Zdzieszowice - miasto (4)";5833;
1605055;"Zdzieszowice - obszar wiejski (5)";2146;
1606012;"Domaszowice (2)";1830;
1606023;"Namysłów (3)";13531;
1606024;"Namysłów - miasto (4)";8729;
1606025;"Namysłów - obszar wiejski (5)";4802;
1606032;"Pokój (2)";2664;
1606042;"Świerczów (2)";1650;
1606052;"Wilków (2)";2156;
1607013;"Głuchołazy (3)";12183;
1607014;"Głuchołazy - miasto (4)";7181;
1607015;"Głuchołazy - obszar wiejski (5)";5002;
1607022;"Kamiennik (2)";1720;
1607033;"Korfantów (3)";4408;
1607034;"Korfantów - miasto (4)";935;
1607035;"Korfantów - obszar wiejski (5)";3473;
1607042;"Łambinowice (2)";3828;
1607053;"Nysa (3)";29610;
1607054;"Nysa - miasto (4)";22933;
1607055;"Nysa - obszar wiejski (5)";6677;
1607063;"Otmuchów (3)";6932;
1607064;"Otmuchów - miasto (4)";3441;
1607065;"Otmuchów - obszar wiejski (5)";3491;
1607073;"Paczków (3)";6335;
1607074;"Paczków - miasto (4)";3845;
1607075;"Paczków - obszar wiejski (5)";2490;
1607082;"Pakosławice (2)";1739;
1607092;"Skoroszyce (2)";3101;
1608013;"Dobrodzień (3)";5105;
1608014;"Dobrodzień - miasto (4)";1944;
1608015;"Dobrodzień - obszar wiejski (5)";3161;
1608023;"Gorzów Śląski (3)";3625;
1608024;"Gorzów Śląski - miasto (4)";1293;
1608025;"Gorzów Śląski - obszar wiejski (5)";2332;
1608033;"Olesno (3)";9221;
1608034;"Olesno - miasto (4)";4927;
1608035;"Olesno - obszar wiejski (5)";4294;
1608043;"Praszka (3)";6853;
1608044;"Praszka - miasto (4)";3922;
1608045;"Praszka - obszar wiejski (5)";2931;
1608052;"Radłów (2)";2209;
1608062;"Rudniki (2)";4141;
1608072;"Zębowice (2)";1785;
1609012;"Chrząstowice (2)";3582;
1609022;"Dąbrowa (2)";4212;
1609032;"Dobrzeń Wielki (2)";4892;
1609042;"Komprachcice (2)";4920;
1609052;"Łubniany (2)";5080;
1609062;"Murów (2)";2715;
1609073;"Niemodlin (3)";6630;
1609074;"Niemodlin - miasto (4)";3228;
1609075;"Niemodlin - obszar wiejski (5)";3402;
1609083;"Ozimek (3)";10077;
1609084;"Ozimek - miasto (4)";4481;
1609085;"Ozimek - obszar wiejski (5)";5596;
1609092;"Popielów (2)";4170;
1609103;"Prószków (3)";4763;
1609104;"Prószków - miasto (4)";1385;
1609105;"Prószków - obszar wiejski (5)";3378;
1609112;"Tarnów Opolski (2)";4989;
1609123;"Tułowice (3)";2685;
1609124;"Tułowice - miasto (4)";2062;
1609125;"Tułowice - obszar wiejski (5)";623;
1609132;"Turawa (2)";5166;
1610013;"Biała (3)";5526;
1610014;"Biała - miasto (4)";1264;
1610015;"Biała - obszar wiejski (5)";4262;
1610023;"Głogówek (3)";6724;
1610024;"Głogówek - miasto (4)";2889;
1610025;"Głogówek - obszar wiejski (5)";3835;
1610032;"Lubrza (2)";2228;
1610043;"Prudnik (3)";14186;
1610044;"Prudnik - miasto (4)";11119;
1610045;"Prudnik - obszar wiejski (5)";3067;
1611012;"Izbicko (2)";2813;
1611022;"Jemielnica (2)";3673;
1611033;"Kolonowskie (3)";3021;
