Zmienna;Jednostka miary;Kraj;Makroregion;Region;Miejsce zamieszkania;P³eæ;Wiek;Rok;Wartoœæ
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;39;2018;16185
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;40;2018;16048
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;41;2018;15502
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;42;2018;15630
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;43;2018;14966
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;44;2018;13965
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;45;2018;13410
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;46;2018;12660
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;47;2018;12189
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;48;2018;11487
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;49;2018;11030
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;50;2018;10651
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;51;2018;10420
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;52;2018;10854
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;53;2018;11118
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;54;2018;11486
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;55;2018;11961
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;56;2018;12389
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;57;2018;13465
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;58;2018;14546
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;59;2018;15599
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;60;2018;16738
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;61;2018;17230
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;62;2018;17581
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;63;2018;18126
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;64;2018;17699
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;65;2018;17621
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;66;2018;17834
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;67;2018;17802
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;68;2018;16422
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;69;2018;15851
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;70;2018;15032
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;71;2018;13401
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;72;2018;11378
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;73;2018;7608
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;74;2018;7433
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;75;2018;7029
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;76;2018;6881
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;77;2018;7464
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;78;2018;7831
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;79;2018;7701
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;80;2018;7432
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;81;2018;7212
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;82;2018;7259
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;83;2018;6510
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;84;2018;5983
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;85;2018;5285
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;86;2018;5047
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;87;2018;4388
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;88;2018;4024
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;89;2018;3332
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;90;2018;2796
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;91;2018;2236
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;92;2018;1836
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;93;2018;1530
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;94;2018;1014
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;95;2018;757
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;96;2018;553
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;97;2018;275
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;98;2018;182
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;99;2018;90
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;100 i wiêcej;2018;183
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;0;2018;5320
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;1;2018;5659
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;2;2018;5582
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;3;2018;5383
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;4;2018;5265
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;5;2018;5299
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;6;2018;5447
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;7;2018;5508
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;8;2018;5858
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;9;2018;6326
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;10;2018;6158
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;11;2018;5772
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;12;2018;5474
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;13;2018;5176
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;14;2018;4971
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;15;2018;4920
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;16;2018;5190
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;17;2018;5374
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;18;2018;5587
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;19;2018;5549
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;20;2018;5510
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;21;2018;5855
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;22;2018;6137
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;23;2018;6374
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;24;2018;6977
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;25;2018;7243
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;26;2018;7584
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;27;2018;8088
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;28;2018;8572
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;29;2018;8501
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;30;2018;8652
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;31;2018;9024
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;32;2018;9101
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;33;2018;9788
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;34;2018;10222
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;35;2018;10552
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;36;2018;9884
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;37;2018;9476
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;38;2018;9678
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;39;2018;9508
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;40;2018;9249
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;41;2018;9158
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;42;2018;9438
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;43;2018;9025
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;44;2018;8621
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;45;2018;8480
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;46;2018;8135
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;47;2018;7973
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;48;2018;7700
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;49;2018;7347
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;50;2018;7430
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;51;2018;7396
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;52;2018;7231
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;53;2018;7612
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;54;2018;7597
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;55;2018;8068
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;56;2018;8111
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;57;2018;8486
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;58;2018;9157
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;59;2018;9707
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;60;2018;10539
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;61;2018;10819
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;62;2018;10699
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;63;2018;10686
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;64;2018;10346
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;65;2018;10212
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;66;2018;9954
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;67;2018;10040
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;68;2018;9797
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;69;2018;9498
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;70;2018;9017
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;71;2018;8264
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;72;2018;7708
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;73;2018;4558
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;74;2018;4614
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;75;2018;4771
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;76;2018;4633
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;77;2018;4761
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;78;2018;4546
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;79;2018;4430
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;80;2018;4358
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;81;2018;4143
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;82;2018;3815
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;83;2018;3760
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;84;2018;3283
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;85;2018;2946
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;86;2018;2807
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;87;2018;2412
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;88;2018;2140
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;89;2018;1729
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;90;2018;1433
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;91;2018;1181
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;92;2018;893
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;93;2018;810
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;94;2018;572
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;95;2018;402
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;96;2018;302
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;97;2018;193
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;98;2018;113
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;99;2018;90
Rezydenci;osoba;Polska;PÓ£NOCNY;Kujawsko-pomorskie;miasta;kobiety;100 i wiêcej;2018;159
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;0;2018;4269
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;1;2018;4765
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;2;2018;4524
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;3;2018;4589
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;4;2018;4358
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;5;2018;4185
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;6;2018;4542
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;7;2018;4592
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;8;2018;4667
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;9;2018;4936
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;10;2018;4798
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;11;2018;4515
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;12;2018;4322
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;13;2018;4174
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;14;2018;4051
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;15;2018;4029
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;16;2018;3965
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;17;2018;4352
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;18;2018;4312
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;19;2018;4464
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;20;2018;4460
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;21;2018;4790
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;22;2018;4939
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;23;2018;4947
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;24;2018;5723
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;25;2018;5946
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;26;2018;6362
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;27;2018;6909
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;28;2018;7264
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;29;2018;7260
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;30;2018;7413
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;31;2018;7245
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;32;2018;7812
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;33;2018;7816
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;34;2018;7948
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;35;2018;8336
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;36;2018;8066
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;37;2018;7613
Rezydenci;osoba;Polska;WSCHODNI;Lubelskie;miasta;kobiety;38;2018;7603
