"Kod";"Nazwa";"Świadczenie wychowawcze";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0205023;"Bolków (3)";"wydatki na świadczenia wychowawcze";"2019";7212803;"zł";"";
0205032;"Męcinka (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";307;"-";"";
0205032;"Męcinka (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";446;"-";"";
0205032;"Męcinka (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";831;"-";"";
0205032;"Męcinka (2)";"wydatki na świadczenia wychowawcze";"2019";3941518;"zł";"";
0205042;"Mściwojów (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";227;"-";"";
0205042;"Mściwojów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";363;"-";"";
0205042;"Mściwojów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";632;"-";"";
0205042;"Mściwojów (2)";"wydatki na świadczenia wychowawcze";"2019";3124124;"zł";"";
0205052;"Paszowice (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";248;"-";"";
0205052;"Paszowice (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";367;"-";"";
0205052;"Paszowice (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";608;"-";"";
0205052;"Paszowice (2)";"wydatki na świadczenia wychowawcze";"2019";3014595;"zł";"";
0205062;"Wądroże Wielkie (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";254;"-";"";
0205062;"Wądroże Wielkie (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";402;"-";"";
0205062;"Wądroże Wielkie (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";649;"-";"";
0205062;"Wądroże Wielkie (2)";"wydatki na świadczenia wychowawcze";"2019";3184355;"zł";"";
0206011;"Karpacz (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";180;"-";"";
0206011;"Karpacz (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";267;"-";"";
0206011;"Karpacz (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";489;"-";"";
0206011;"Karpacz (1)";"wydatki na świadczenia wychowawcze";"2019";2341021;"zł";"";
0206021;"Kowary (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";538;"-";"";
0206021;"Kowary (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";823;"-";"";
0206021;"Kowary (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1339;"-";"";
0206021;"Kowary (1)";"wydatki na świadczenia wychowawcze";"2019";6555002;"zł";"";
0206031;"Piechowice (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";296;"-";"";
0206031;"Piechowice (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";437;"-";"";
0206031;"Piechowice (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";804;"-";"";
0206031;"Piechowice (1)";"wydatki na świadczenia wychowawcze";"2019";3784987;"zł";"";
0206041;"Szklarska Poręba (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";253;"-";"";
0206041;"Szklarska Poręba (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";350;"-";"";
0206041;"Szklarska Poręba (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";616;"-";"";
0206041;"Szklarska Poręba (1)";"wydatki na świadczenia wychowawcze";"2019";3071134;"zł";"";
0206052;"Janowice Wielkie (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";220;"-";"";
0206052;"Janowice Wielkie (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";331;"-";"";
0206052;"Janowice Wielkie (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";576;"-";"";
0206052;"Janowice Wielkie (2)";"wydatki na świadczenia wychowawcze";"2019";3088540;"zł";"";
0206062;"Jeżów Sudecki (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";448;"-";"";
0206062;"Jeżów Sudecki (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";644;"-";"";
0206062;"Jeżów Sudecki (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1107;"-";"";
0206062;"Jeżów Sudecki (2)";"wydatki na świadczenia wychowawcze";"2019";5721678;"zł";"";
0206072;"Mysłakowice (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";548;"-";"";
0206072;"Mysłakowice (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";816;"-";"";
0206072;"Mysłakowice (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1466;"-";"";
0206072;"Mysłakowice (2)";"wydatki na świadczenia wychowawcze";"2019";7032830;"zł";"";
0206082;"Podgórzyn (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";453;"-";"";
0206082;"Podgórzyn (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";649;"-";"";
0206082;"Podgórzyn (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1145;"-";"";
0206082;"Podgórzyn (2)";"wydatki na świadczenia wychowawcze";"2019";5505549;"zł";"";
0206092;"Stara Kamienica (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";310;"-";"";
0206092;"Stara Kamienica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";477;"-";"";
0206092;"Stara Kamienica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";775;"-";"";
0206092;"Stara Kamienica (2)";"wydatki na świadczenia wychowawcze";"2019";3811485;"zł";"";
0207011;"Kamienna Góra (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";862;"-";"";
0207011;"Kamienna Góra (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1330;"-";"";
0207011;"Kamienna Góra (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";2233;"-";"";
0207011;"Kamienna Góra (1)";"wydatki na świadczenia wychowawcze";"2019";11393399;"zł";"";
0207022;"Kamienna Góra (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";546;"-";"";
0207022;"Kamienna Góra (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";862;"-";"";
0207022;"Kamienna Góra (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1445;"-";"";
0207022;"Kamienna Góra (2)";"wydatki na świadczenia wychowawcze";"2019";7320256;"zł";"";
0207033;"Lubawka (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";405;"-";"";
0207033;"Lubawka (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";645;"-";"";
0207033;"Lubawka (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1100;"-";"";
0207033;"Lubawka (3)";"wydatki na świadczenia wychowawcze";"2019";6336963;"zł";"";
0207042;"Marciszów (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";236;"-";"";
0207042;"Marciszów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";389;"-";"";
0207042;"Marciszów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";598;"-";"";
